===== Starting battle of <FastClearBot> vs <Bigger> with memory tape size: 12 =====

[ 128 | 0 | 0 | 5< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >116 ]
[ 128 | 0 | 0 | 6< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >115 ]
[ 128 | 0 | 0 | 7< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >115 ]
[ 128 | 0 | 0 | 8< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >114 ]
[ 128 | 0 | 0 | 9< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >114 ]
[ 128 | 0 | 0 | 10< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >113 ]
[ 128 | 0 | 0 | 11< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >113 ]
[ 128 | 0 | 0 | 12< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >112 ]
[ 128 | 0 | 0 | 13< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >112 ]
[ 128 | 0 | 0 | 14< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >111 ]
[ 128 | 0 | 0 | 15< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >111 ]
[ 128 | 0 | 0 | 16< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >110 ]
[ 128 | 0 | 0 | 17< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >110 ]
[ 128 | 0 | 0 | 18< | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >109 ]
[ 128 | 0 | 0< | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >109 ]
[ 128 | 0 | 0< | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >108 ]
[ 128 | 0 | 0< | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >108 ]
[ 128 | 0< | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >107 ]
[ 128 | 0< | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >107 ]
[ 128 | 0< | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >106 ]
[ 128< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >106 ]
[ 128< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >105 ]
[ -127< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >105 ]
[ -126< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >104 ]
[ -125< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >104 ]
[ -124< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >103 ]
[ -123< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >103 ]
[ -122< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >102 ]
[ -121< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >102 ]
[ -120< | 0 | 0 | 18 | -18 | 18 | -18 | -1 | 1 | 0 | 0 | >101 ]
