===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 0< | >-28 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 1< | >-29 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 2< | >-29 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 3< | >-30 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 4< | >-30 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 5< | >-31 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 6< | >-31 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 7< | >-32 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 8< | >-32 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 9< | >-33 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 10< | >-33 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 11< | >-34 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12 | 12< | >-34 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12 | -12< | 12 | >-35 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12 | 12< | -12 | 12 | >-35 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 8 | -12< | 12 | -12 | 12 | >-36 | -127 ]
