===== Starting battle of <SternBot> vs <BeatYouMate> with memory tape size: 14 =====

[ 123< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >74 ]
[ 122< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >73 ]
[ 122< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >73 ]
[ 121< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >72 ]
[ 121< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >72 ]
[ 120< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >71 ]
[ 120< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >71 ]
[ 119< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >70 ]
[ 119< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >70 ]
[ 118< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >69 ]
[ 118< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >69 ]
[ 117< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >68 ]
[ 117< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >68 ]
[ 116< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >67 ]
[ 116< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >67 ]
[ 115< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >66 ]
[ 115< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >66 ]
[ 114< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >65 ]
[ 114< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >65 ]
[ 113< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >64 ]
[ 113< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >64 ]
[ 112< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >63 ]
[ 112< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >63 ]
