===== Starting battle of <BeatYouMate> vs <PolarBear> with memory tape size: 18 =====

[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 14< | 0 | 0 | 0 | 0 | 0 | >8 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 14< | 0 | 0 | 0 | 0 | 0 | >7 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 15< | 0 | 0 | 0 | 0 | 0 | >7 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 15< | 0 | 0 | 0 | 0 | 0 | >6 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 16< | 0 | 0 | 0 | 0 | 0 | >6 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 16< | 0 | 0 | 0 | 0 | 0 | >5 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 17< | 0 | 0 | 0 | 0 | 0 | >5 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 17< | 0 | 0 | 0 | 0 | 0 | >4 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 18< | 0 | 0 | 0 | 0 | 0 | >4 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 18< | 0 | 0 | 0 | 0 | 0 | >3 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 19< | 0 | 0 | 0 | 0 | 0 | >3 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 19< | 0 | 0 | 0 | 0 | 0 | >2 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 20< | 0 | 0 | 0 | 0 | 0 | >2 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 20< | 0 | 0 | 0 | 0 | 0 | >1 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 21< | 0 | 0 | 0 | 0 | 0 | >1 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 21< | 0 | 0 | 0 | 0 | 0 | >0 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 22< | 0 | 0 | 0 | 0 | 0 | >0 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 22< | 0 | 0 | 0 | 0 | 0 | >0 | 6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 23< | 0 | 0 | 0 | 0 | 0 | 0 | >6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 23< | 0 | 0 | 0 | 0 | 0 | 0 | >6 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 24< | 0 | 0 | 0 | 0 | 0 | 0 | >7 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 24< | 0 | 0 | 0 | 0 | 0 | 0 | >8 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 25< | 0 | 0 | 0 | 0 | 0 | 0 | >9 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 25< | 0 | 0 | 0 | 0 | 0 | 0 | >10 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 26< | 0 | 0 | 0 | 0 | 0 | 0 | >11 | 6 | 128 ]
[ 128 | -6 | 7 | -6 | 7 | -6 | 7 | -6 | 26< | 0 | 0 | 0 | 0 | 0 | 0 | >12 | 6 | 128 ]
